"Date" "ET" "Station" "SP" "Sex" "Age" "Weight"
"5_25m3" "5_25" 3 "BB18" "PL" "M" "J" 7.5
"5_25m4" "5_25" 4 "K19" "PL" "M" "A" 16
"5_26m1" "5_26" 1 "A12" "PL" "F" "A" 19.5
"5_26m9" "5_26" 9 "M9" "PL" "F" "A" 25
"5_31m11" "5_31" 11 "F2" "PMG" "F" "J" 16
"5_31m2" "5_31" 2 "CC4" "PL" "M" "SA" 15
"5_31m4" "5_31" 4 "L18" "PL" "M" "A" 18
"5_31m9" "5_31" 9 "L7" "PL" "F" "A" 30
"6_14m1" "6_14" 1 "AA13" "PL" "F" "A" 22
"6_14m23" "6_14" 20 "AA18" "PL" "M" "A" 17
"6_15m11" "6_15" 11 "E2" "PMG" "F" "A" 22.5
"6_15m16" "6_15" 16 "L11" "PMG" "M" "A" 16
"6_15m20" "6_15" 20 "M16" "PL" "M" "A" 17
"6_15m24" "6_15" 24 "M18" "PMG" "F" "SA" 18
"6_15m27" "6_15" 27 "J10" "PL" "M" "SA" 12
"6_15m28" "6_15" 28 "CC5" "PL" "M" "A" 17.5
"6_15m2" "6_15" 2 "B2" "PL" "M" "A" 17
"6_15m32" "6_15" 32 "D8" "PL" "M" "J" 14.5
"6_15m33" "6_15" 33 "A2" "PMG" "M" "A" 18
"6_15m9" "6_15" 9 "M8" "PL" "F" "A" 26
"6_16m18" "6_16" 18 "A13" "PL" "M" "SA" 11.5
"6_16m32" "6_16" 32 "I6" "PL" "M" "J" 13.5
"6_16m33" "6_16" 33 "B2" "PMG" "M" "A" 18
"6_16m36" "6_16" 36 "B19" "PL" "M" "A" 25
"6_16m37" "6_16" 37 "A12" "PL" "M" "J" 7
"6_16m38" "6_16" 38 "CC3" "PMG" "F" "J" 17
"6_17m2" "6_17" 2 "E3" "PL" "M" "A" 18
"6_17m32" "6_17" 32 "J6" "PL" "M" "SA" 13
"6_17m7" "6_17" 7 "I12" "PMG" "F" "A" 21
"6_1m10" "6_1" 10 "B18" "PL" "F" "J" 15
"6_1m12" "6_1" 12 "H18" "PMG" "M" "A" 16
"6_1m2" "6_1" 2 "D3" "PL" "M" "SA" 16
"6_29m24" "6_29" 24 "N20" "PMG" "F" "SA" 17
"6_29m25" "6_29" 25 "P15" "PMG" "F" "A" 23
"6_29m34" "6_29" 34 "P5" "PMG" "M" "SA" 15
"6_29m38" "6_29" 38 "CC2" "PMG" "F" "A" 18
"6_29m48" "6_29" 48 "P7" "PL" "F" "J" 9
"6_29m7" "6_29" 7 "F8" "PMG" "F" "A" 23
"6_29m9" "6_29" 9 "P6" "PL" "F" "A" 27
"6_2m10" "6_2" 10 "D17" "PL" "F" "J" 16.5
"6_2m12" "6_2" 12 "F19" "PMG" "M" "A" 18
"6_2m14" "6_2" 14 "B6" "PL" "M" "J" 12
"6_2m15" "6_2" 15 "N19" "PMG" "F" "J" 13
"6_30m24" "6_30" 24 "N20" "PMG" "F" "A" 17
"6_30m2" "6_30" 2 "B3" "PL" "M" "A" 19
"6_30m33" "6_30" 33 "F1" "PMG" "M" "A" 19
"6_30m34" "6_30" 34 "P6" "PMG" "M" "SA" 15
"6_30m43" "6_30" 43 "CC13" "PMG" "F" "J" 16
"6_30m44" "6_30" 44 "J16" "PL" "M" "SA" 17
"6_5m13" "6_5" 13 "N2" "PMG" "F" "J" 18
"6_5m16" "6_5" 16 "H20" "PMG" "M" "A" 16
"6_5m19" "6_5" 19 "L11" "PMG" "M" "J" 13
"6_5m21" "6_5" 21 "D13" "PMG" "F" "J" 10.5
"6_5m7" "6_5" 7 "I11" "PMG" "F" "SA" 22
"7_13m1" "7_13" 1 "AA13" "PL" "F" "A" 23.5
"7_13m25" "7_13" 25 "P15" "PMG" "F" "A" 18.5
"7_13m34" "7_13" 34 "D7" "PMG" "F" "SA" 15
"7_13m37" "7_13" 37 "AA6" "PL" "F" "A" 15
"7_13m38" "7_13" 38 "CC2" "PMG" "F" "A" 22.5
"7_13m46" "7_13" 46 "N4" "PMG" "F" "A" 21
"7_13m51" "7_13" 51 "B16" "PMG" "F" "J" 14
"7_13m54" "7_13" 54 "N3" "PL" "F" "SA" 13
"7_13m55" "7_13" 55 "J15" "PL" "F" "SA" 14
"7_13m57" "7_13" 57 "L20" "PL" "F" "SA" 15.5
"7_13m61" "7_13" 61 "CC6" "PL" "M" "A" 17
"7_13m69" "7_13" 69 "H20" "PL" "M" "SA" 14.5
"7_14m1" "7_14" 1 "CC13" "PL" "F" "A" 21
"7_14m2" "7_14" 2 "CC6" "PL" "M" "A" 18.5
